fund_code,fund_source,type
<Null>,Unknown,Unknown
2015 SFA,USFS Consolidated Payment Grant,Federal
2015 WRRG,Wildfire Risk Reduction Grant (WRRG),State
2017 SFA,USFS Consolidated Payment Grant,Federal
2018 SFA slip,USFS Consolidated Payment Grant,Federal
2020 Forests to Faucets 2,Denver Water,Local
22 Fund Management Projects,Other,Other
39 Fund Service Fees,Other,Unknown
ABInBev,Anheuser Busch InBev (ABInBev),Private
ABInbev,Anheuser Busch InBev (ABInBev),Private
ACCA,Other,Unknown
AFF,American Forest Foundation (AFF),Private
Allard,Congressional Directed Spending,Federal
Allard - MPB Removal,Congressional Directed Spending,Federal
APG,American Recovery and Reinvestment Act (ARRA),Federal
ARRA,American Recovery and Reinvestment Act (ARRA),Federal
ARRA-APG,American Recovery and Reinvestment Act (ARRA),Federal
ARRA-CUSP,"American Recovery and Reinvestment Act (ARRA), Coalition for the Upper South Platte (CUSP)",Federal
ARRA-RMYC,American Recovery and Reinvestment Act (ARRA),Federal
Aurora Water,Aurora Water,Local
BEF,Bonneville Environmental Foundation (BEF),Private
BIL,Bipartisan Infrastructure Law (BIL),Federal
BIL,Bipartisan Infrastructure Law (BIL),Federal
Bipartisan Infrastructure Law (BIL),Bipartisan Infrastructure Law (BIL),Federal
BOR 2013,Bureau of Reclamation (BOR),Federal
BORDNR dollars,Bureau of Reclamation (BOR),Federal
Brush Disposal,Brush Disposal,Federal
Brush Disposal Purchaser Elect,Brush Disposal,Federal
CA Community Assistance BLM,Wildland Fire Community Assistance Program,Federal
CAFA,Community Assistance Funds Adjacent to National Forests and Grasslands (CAFA or Stevens grant),Federal
Capital Improvement and Maintenance,Capital Improvement and Maintenance,Federal
CFLR,Collaborative Forest Landscape Restoration (CFLR),Federal
CFRP,Colorado Forest Restoration Pilot (CFRP),State
CFSY WUI Grant,USFS Consolidated Payment Grant,Federal
City of Boulder Climate tax,City of Boulder,Local
City of Fort Collins Utilities,City of Fort Collins Utilities,Local
CO Community Wildfire Defense Grants (CWDG),Community Wildfire Defense Grants (CWDG),Federal
CO DNR WRRG,Wildfire Risk Reduction Grant (WRRG),State
Coalitions and Collaboratives,Coalitions and Collaboratives Action Implementation and Mitigation,Private
Coalitions and Collaboratives AIM,Coalitions and Collaboratives Action Implementation and Mitigation,Private
COB,City of Boulder,Local
CoCo-AIM,Coalitions and Collaboratives Action Implementation and Mitigation,Private
Collaborative Forest Landscape Restoration,Collaborative Forest Landscape Restoration (CFLR),Federal
Colorado Conservation Exchange,Peaks to People Water Fund,Private
Colorado Department of Local Affairs,Colorado Department of Local Affairs (DOLA),State
Colorado DOT,Colorado Department of Transportation (CDOT),State
Colorado Forest Restoration Pilot (CFRP),Colorado Forest Restoration Pilot (CFRP),State
Colorado Parks & Wildlife,Colorado Parks and Wildlife (CPW),State
Colorado Parks and Wildlife,Colorado Parks and Wildlife (CPW),State
Colorado Strategic Wildfire Action Program (COSWAP),Colorado Strategic Wildfire Action Program (COSWAP),State
Community Foundation of Northern Colorado,Community Foundation of Northern Colorado,Private
Congressional Directed Spending,Congressional Directed Spending,Federal
Congressionally Directed Spending,Congressional Directed Spending,Federal
Cooperative Work,Cooperative Work,Federal
Cooperative Work Knutson-Vandenberg,Cooperative Work Knutson-Vandenberg,Federal
Cooperative Work Knutson-Vandenberg,Cooperative Work Knutson-Vandenberg,Federal
Cost share w CSFS,Other,State
COSU,Colorado Springs Utilities,Local
COSWAP,Colorado Strategic Wildfire Action Program (COSWAP),State
COSWAP LRI,Colorado Strategic Wildfire Action Program (COSWAP),State
COSWAP WDG andor GOCO CYCA (in SOW of both awarded grants),Colorado Strategic Wildfire Action Program (COSWAP),State
COSWAP Workforce Development Grant,Colorado Strategic Wildfire Action Program (COSWAP),State
