ACTIVITY,reclass,list of possible methods,notes
Acres Improved - Construction/Reconstruction of Range Grz Structural Improv Area,EXCLUDE,Mechanical,
Acres Improved Through Removal of Range Structural Improvements - AREA,EXCLUDE,,
Administrative Changes,EXCLUDE,,
Anadromous Fish Habitat Access Management (Closures),EXCLUDE,,
Animal Control,EXCLUDE,,
Animal Damage Control for Reforestation,EXCLUDE,biological control; manual,
Broadcast Burning - Covers a majority of the unit,Broadcast Burn,cut trees and brush; fire; manual; prescribed burn,
Burning of Piled Material,Pile Burn,"crushing, pushing; cut trees and brush; fire; girdle; hand piling; manual; mechanical; mechanical pile; prescribed burn; quick plot exams; tractor logging",
Campground Maintenance,EXCLUDE,manual,
Certification of Natural Regeneration with Site Prep,EXCLUDE,intensive inventory; manual; plots (stratified inventory); quick plot exams; survey methods; systematic grid; walk-through,
Certification of Natural Regeneration without Site Prep,EXCLUDE,extensive inventory; fire; general reconnaissance; intense inventory; local method; manual; mechanical; plots (extensive inventory); quick plot exams; survey methods; tractor logging; walk-through,
Certification-Planted,EXCLUDE,"manual, staked trees, walk-through",
Certification-Seeded,EXCLUDE,,
Chipping of Fuels,Mulching,"chipping; crushing, pushing; cut trees and brush; girdle; manual; mechanical; mobile ground; prescribed burn; removal; tractor logging; utilizer - chip",
Commercial Thin,SKIP,chipping; cut trees and brush; logging methods; manual; manual logging; mechanical; power hand; tractor logging,
Commercial Thin Cut trees and brush,SKIP,,
Compacting/Crushing of Fuels,Mulching,"chipping; crushing, pushing; maintenance; mechanical; power hand",
Cone Collection,EXCLUDE,manual,
Control of Understory Vegetation,EXCLUDE,chemical; manual; mechanical,
Control of Understory Vegetation- Burning,Broadcast Burn,fire,
Coppice Cut (EA/RH/FH),Mechanical,mechanical; tractor logging,
Coppice Cut (w/leave trees) (EA/RH/FH),Mechanical,logging methods; mechanical; tractor logging,
Cover brush pile for burning,Pile Fuels,,
Cruising,EXCLUDE,manual,
Disease Control,EXCLUDE,girdle; manual; mechanical,
Disease Inventory,EXCLUDE,,
Disease Prevention,EXCLUDE,manual,
Disturbed Facilities Replacement,EXCLUDE,,
Evaluation Plantation Examination/ Measurement,EXCLUDE,manual; mechanical,
Facility and Site Reconstruction,EXCLUDE,mechanical,
Fill-in or Replant Trees,Plant Trees,manual,
Fill-in Seed or Reseed Trees,EXCLUDE,manual,
Fuel Break,SKIP,cut trees and brush; hand piling; manual; manual logging; mechanical; mechanical pile; power hand,
Fuel Inventory,EXCLUDE,,
Fuels and Fire Activities,SKIP,,
Grazing and Range Mgt. for Hazardous Fuels Reduction,EXCLUDE,"aerial, animal; mechanical",
Group Selection Cut (UA/RH/FH),SKIP,helicopter; logging methods; manual; mechanical; tractor logging,
Group Selection Method (UA/RH/FH),SKIP,,
Harvest Without Restocking,SKIP,logging methods; manual; tractor logging,
Improvement Cut,SKIP,helicopter; logging methods; manual; mechanical; tractor logging,
Initiate Natural Regeneration,EXCLUDE,,
Insect and Disease Surveys,EXCLUDE,,
Insect Control,EXCLUDE,biological control; mechanical,
Insect Inventory,EXCLUDE,,
Insect Prevention,EXCLUDE,,
"Invasives - Biocontrol, Classic",EXCLUDE,biological control,
"Invasives - Biocontrol, Livestock",EXCLUDE,,
Invasives - Mechanical /Physical,EXCLUDE,chemical; manual; mechanical,
Invasives - Pesticide Application,EXCLUDE,animal; biological control; chemical; manual; manual chemical; mechanical,
Invasives - Treatment Activity Monitoring,EXCLUDE,manual,
Jackpot Burning - Scattered concentrations,Pile Burn,fire; manual; prescribed burn,
Landing Treated - Area Mitigated ,EXCLUDE,,
Layout and Design,EXCLUDE,manual,
Leave Trees (Wildlife Reasons) - Area,EXCLUDE,,
Low Intensity Stand Examination,EXCLUDE,,
Management & Control of Recreation to Protect Resources,EXCLUDE,installation; maintenance; manual; mechanical,
Marking/Designation,EXCLUDE,manual,
Misc Treatment of Natural Fuels,SKIP,,
NA,SKIP,,
Native Species Established,EXCLUDE,,
Natural Changes (excludes fire),EXCLUDE,Survey Methods,
No Treatment Matrix,SKIP,,
None,EXCLUDE,,
Nonrange Fences - Area,EXCLUDE,manual,
Other Range Improvements - Area,EXCLUDE,,
Other Stand Tending,EXCLUDE,Cut trees and brush; firewood removal; hand piling; manual; tractor logging,
Overstory Removal Cut (from advanced regeneration) (EA/RH/FH),SKIP,helicopter; logging methods; manual; mechanical; tractor logging,
Overstory Removal Cut (from advanced regeneration) (EA/RH/FH) Helicopter,Mechanical,,
Patch Clearcut (EA/RH/FH),SKIP,Firewood Removal; gridle; logging methods; manual; manual logging; mechanical; power hand; tractor logging,
Patch Clearcut (w/ leave trees) (EA/RH/FH),SKIP,Cut trees and brush; mechanical; tractor logging,
Patch Clearcut (w/ leave trees) (EA/RH/FH) Cut trees and brush,SKIP,,
Permanent Land Clearing,SKIP,Logging Methods; manual; mechanical; tractor logging; walk-through,
"Piling of Fuels, Hand or Machine ",Pile Fuels,"Crushing, pushing; cut trees and brush; fire; firewood removal; girdle; hand piling; logging methods; manual; mechanical; mechanical pile; power hand; prescribed burn; tractor logging",
Planned Treatment Burned in Wildfire,EXCLUDE,Wildfire,
"Plant or Seed Shrubs, Forbs, Grasses",EXCLUDE,manual,
Plant Trees,Plant Trees,"Girdle, manual",
Plantation Survival Survey,EXCLUDE,General Reconnaissance; intensive inventory; manual; staked rows; staked trees; survey methods; walk-through,
Planting propagules and cuttings,EXCLUDE,manual,
Post Treatment Vegetation Monitoring,EXCLUDE,manual; quick plot exams; survey methods; walk-through,
Precommercial Thin,SKIP,"Chipping; crushing, pushing; cut trees and brush; fire; firewood removal; hand piling; helicopter; logging methods; maintenance; manual; mechanical; mobile ground; power hand; prescribed burn; quick plots exams; removal; tractor logging",
Precommercial thinning for visual,SKIP,manual,
Pretreatment Exam for Reforestation,EXCLUDE,General Reconnaissance; intensive inventory; manual; plots (extensive inventory); quick plot exams; walk-through,
Pretreatment Exam for Release or Precommercial Thinning,EXCLUDE,Walk-through,
Prune,Manual,manual,
Pruning to Raise Canopy Height and Discourage Crown Fire,SKIP,manual; mechanical; power hand,
Range Control Vegetation,EXCLUDE,Mechanical,
Range Cover Manipulation,EXCLUDE,Animal; fire; prescribed burn,
Range Cover Type Conversion,EXCLUDE,,
Range Fence Obliteration - Area,EXCLUDE,,
Range Fences - Area,EXCLUDE,,
Range Fences - Length,EXCLUDE,,
Range Fertilization,EXCLUDE,manual,
Range Forage Improvement,EXCLUDE,,
Range Grazing Non-Structural Improvements,EXCLUDE,,
Range NEPA/AMP Implementation,EXCLUDE,,
Range Non-Structural Maintenance,EXCLUDE,manual,
Range Seeding and Planting,EXCLUDE,manual,
Rearrangement of Fuels,SKIP,Animal Logging; cut trees and brush; hand piling; logging methods; manual; mechanical; power hand; removal; tractor logging,
Reclamation of Mines,EXCLUDE,manual,
Recreation Activity Enhancement,EXCLUDE,manual,
Recreation Removal of hazard trees and snags,MANUAL,,
Recreation Removal of hazard trees and snags - Area,SKIP,Cut trees and brush; helicopter,
Reforestation Enhancement,EXCLUDE,,
Reforestation Enhancement Maintenance,EXCLUDE,,
Reforestation Need Change due to Classification Changes,EXCLUDE,,
Reforestation Need Change due to Multiple Use Changes,EXCLUDE,,
"Reforestation Need Change due to Other (windthrow, etc)",EXCLUDE,,
Reforestation Need Change due to Stocking Changes,EXCLUDE,,
Reforestation Need Created by Fire,EXCLUDE,,
Reforestation Need Created by Harvest,EXCLUDE,,
Reforestation Need created by Insect or Disease Agents,EXCLUDE,,
Reforestation Need created by Regeneration Failure,EXCLUDE,manual,
Removal of Range Non-Structural Improvements,EXCLUDE,manual,
Re-vegetation monitoring for germination / survival of seeds and/or plants,EXCLUDE,,
Road Maintenance - Vegetation Reduction,SKIP,manual,
"Salvage Cut (intermediate treatment, not regeneration)",SKIP,"Animal Logging; fire; girdle; hand cut, cut surface treatment; helicopter; logging methods; manual; manual logging; mechanical; removal; tractor logging","no method or equipment for this type, manual assumption made"
Sanitation Cut,SKIP,Cut trees and brush; helicopter; highlead; logging methods; manual; manual logging; mechanical; removal; tractor logging,
Scarify and Seed Landings,EXCLUDE,manual; mechanical,
Seed (Trees),Seed,manual; mechanical,
"Seed Production Area (estab, impr, operation)",EXCLUDE,,
Seed Production Area Cone Collection,EXCLUDE,,
Seed Production Area Maintenance,EXCLUDE,manual,
"Seeding grasses, forbs and/or shrubs",EXCLUDE,manual,
Seed-tree Removal Cut (w/ leave trees) (EA/NRH/FH),SKIP,mechanical; tractor logging,
Seed-tree Seed Cut (with and without leave trees) (EA/RH/NFH),SKIP,Tractor Logging,
Sensitive Species Protection,EXCLUDE,,
Sensitive Species Species survey,EXCLUDE,,
