fund_code,fund_source,fund_type,FT
|BIL,Bipartisan Infrastructure Law (BIL),Federal,
|Management Regular (FMReg),Fuels Management Regular,Federal,
<Null>,Unknown,Federal,
ACAC,Acquisition of Land for National Forest Special Acts,Federal,
BAR - BIL,Bipartisan Infrastructure Law (BIL),Federal,
BAR - Disaster Relief,Burned Area Rehabilitation,Federal,
BAR - Regular,Burned Area Rehabilitation,Federal,
BDBD,Brush Disposal,Federal,BDBD
BIL,Bipartisan Infrastructure Law (BIL),Federal,
BIL|Contributed,Bipartisan Infrastructure Law (BIL),Federal,
BIL|Other (See Notes),Bipartisan Infrastructure Law (BIL),Federal,
CFIX,Bipartisan Infrastructure Law (BIL),Federal,
CFLN,Collaborative Forest Landscape Restoration,Federal,CFLN
CFLR,Collaborative Forest Landscape Restoration,Federal,
CMC2,Capital Improvement and Maintenance,Federal,
CMEX,Capital Improvement and Maintenance,Federal,
CMFA,Capital Improvement and Maintenance,Federal,
CMFC,Capital Improvement and Maintenance,Federal,
CMFD,Capital Improvement and Maintenance,Federal,
CMII,Capital Improvement and Maintenance,Federal,
CMIX,Capital Improvement and Maintenance,Federal,
CMLG,Capital Improvement and Maintenance,Federal,
CMRD,Capital Improvement and Maintenance,Federal,CMRD
CMRO,Capital Improvement and Maintenance,Federal,
CMTL,Capital Improvement and Maintenance,Federal,CMTL
CMTR,Capital Improvement and Maintenance,Federal,
CMXF,Capital Improvement and Maintenance,Federal,
CMXN,Capital Improvement and Maintenance,Federal,
CONT,Other,Federal,CONT
Contributed,Other,Federal,
Contributed|Management Regular (FMReg),Fuels Management Regular,Federal,
Contributed|Management Regular (FMReg)|Other (See Notes),Fuels Management Regular,Federal,
CRRD,Other,Federal,
CRWE,Watershed Restoration and Ecosystem Enhancement ,Federal,
CWCD,Other,Federal,
CWF2,Cooperative Work,Federal,CWF2
CWFS,Cooperative Work,Federal,CWFS
CWK2,Cooperative Work Knutson-Vandenberg,Federal,
CWKV,Cooperative Work Knutson-Vandenberg,Federal,CWKV
Disaster Relief (FMDisasterRelief),Disaster Relief,Federal,
DS01,Bipartisan Infrastructure Law (BIL),Federal,DS01
DS02,Bipartisan Infrastructure Law (BIL),Federal,
DS03,Bipartisan Infrastructure Law (BIL),Federal,
DS05,Bipartisan Infrastructure Law (BIL),Federal,
DS06,Bipartisan Infrastructure Law (BIL),Federal,
DSSE,Bipartisan Infrastructure Law (BIL),Federal,
Emergency Stabilization,Other,Federal,
ER21,Other,Federal,
ETCC,Other,Federal,
ETCR,Other,Federal,
FDAS,Other,Federal,
FDDS,Other,Federal,
FREX,Other,Federal,
FRF2,Other,Federal,
FRIX,Other,Federal,
FRRE,Other,Federal,
FRXF,Other,Federal,
FRXN,Other,Federal,
GBGB,Other,Federal,
GDGD,Other,Federal,
GNPI,Good Neighbor Authority,Federal,GNPI
GPIV,Other,Federal,
GSRV,Other,Federal,
HFDS,National Forest System,Federal,HFDS
HTBW,Other,Federal,
HTER,Other,Federal,
HWEX,Other,Federal,
HWIX,Other,Federal,
HX01,Bipartisan Infrastructure Law (BIL),Federal,
HX04,Bipartisan Infrastructure Law (BIL),Federal,
HX05,Bipartisan Infrastructure Law (BIL),Federal,
HX08,Bipartisan Infrastructure Law (BIL),Federal,
HX10,Bipartisan Infrastructure Law (BIL),Federal,
HX13,Bipartisan Infrastructure Law (BIL),Federal,
HX25,Bipartisan Infrastructure Law (BIL),Federal,
HX28,Bipartisan Infrastructure Law (BIL),Federal,
HX29,Bipartisan Infrastructure Law (BIL),Federal,
HX36,Bipartisan Infrastructure Law (BIL),Federal,HX36
HX51,Bipartisan Infrastructure Law (BIL),Federal,HX51
HX52,Bipartisan Infrastructure Law (BIL),Federal,
HX59,Bipartisan Infrastructure Law (BIL),Federal,
